Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews
CJ8090,4999,2499,50,Adidas CORE / NEO,3.6,28
CL7542,4999,2499,50,Adidas CORE / NEO,2.7,97
CL7311,3599,1799,50,Adidas CORE / NEO,2.5,22
EE8028,5999,2999,50,Adidas CORE / NEO,3.6,15
CL7398,5599,2799,50,Adidas CORE / NEO,4.9,28
CL7306,3999,1999,50,Adidas CORE / NEO,4.1,70
CK9697,4599,2299,50,Adidas CORE / NEO,3.9,43
CI9915,4999,2499,50,Adidas CORE / NEO,3.4,65
CK9590,5299,2649,50,Adidas CORE / NEO,1,51
CL7458,5999,2999,50,Adidas CORE / NEO,4.1,89
CI9913,4999,2499,50,Adidas CORE / NEO,3.5,96
CL7459,5999,2999,50,Adidas CORE / NEO,4.3,74
CI9991,4999,2499,50,Adidas CORE / NEO,2.4,58
F36996,5599,2799,50,Adidas CORE / NEO,3.3,2
CJ7974,5299,2649,50,Adidas CORE / NEO,4.7,53
CL7588,4299,2149,50,Adidas CORE / NEO,3.4,8
CL7407,3999,1999,50,Adidas CORE / NEO,4.8,91
CL7406,3999,1999,50,Adidas CORE / NEO,0,85
CK9420,5599,2799,50,Adidas CORE / NEO,4.6,2
CL7389,5599,2799,50,Adidas CORE / NEO,3.5,40
CL7516,5299,2649,50,Adidas CORE / NEO,4.8,28
CI9989,4999,2499,50,Adidas CORE / NEO,2.2,18
CL7405,3999,1999,50,Adidas CORE / NEO,3.8,49
CL7473,5599,2799,50,Adidas CORE / NEO,3.5,3
CJ8110,4599,2299,50,Adidas CORE / NEO,2.5,7
CJ8019,4599,2299,50,Adidas CORE / NEO,4.6,53
CK9604,4599,2299,50,Adidas CORE / NEO,3.9,26
CK9431,5599,2799,50,Adidas CORE / NEO,1.5,49
EE7289,5999,3599,40,Adidas ORIGINALS,3.7,58
B75580,4999,2499,50,Adidas CORE / NEO,4.3,79
CK9432,5599,2799,50,Adidas CORE / NEO,2.5,17
EE4925,11999,7199,40,Adidas ORIGINALS,2.8,93
EE4953,11999,7199,40,Adidas ORIGINALS,2,32
CL7469,5599,2799,50,Adidas CORE / NEO,2,97
EF8858,7999,4799,40,Adidas ORIGINALS,1,29
EF9219,7599,4559,40,Adidas ORIGINALS,4.5,89
CL7513,5299,2649,50,Adidas CORE / NEO,2.7,62
EE7098,8999,5399,40,Adidas ORIGINALS,3.9,22
CL7425,4599,2299,50,Adidas CORE / NEO,4.9,85
CL7508,4999,2499,50,Adidas CORE / NEO,4,47
EE7292,5599,3359,40,Adidas ORIGINALS,4.2,38
CL7589,4299,2149,50,Adidas CORE / NEO,3,40
CJ8061,5999,2999,50,Adidas CORE / NEO,3.7,92
